kata_imbuhan,kata_dasar
kelimnya, kelim
kibasan, kibas
kesudian, sudi
kuberikan, beri
kelembagaan, lembaga
kopernya, koper
kebahagiaan, bahagia
kelengangan, lengang
kerawanan, rawan
kedebuk, debuk
kepenatan, penat
kulupnya, kulup
kekanseliran, kanselir
ketiduran, tidur
kainnya, kain
keglamoran, glamor
kemasan, kemas
kelurusan, lurus
kegagalan, gagal
kekejutan, kejut
kejingga-jinggaan, jingga
kesutradaraan, sutradara
kegentaran, gentar
kejaga-jagaan, jaga
kesamaan, sama
kenamaan, nama
keusilannya, usil
kenakalan, nakal
keberdayaan, daya
kalalah, kala
keroncongan, keroncong
kebengkokan, bengkok
kebangkitan, bangkit
ketubruk, tubruk
kehendaknya, hendak
kelimpahan, limpah
kecopetan, copet
kambingan, kambing
ketentaraan, tentara
keberjayaan, jaya
kesiagaan, siaga
kegalauan, galau
kekasih, kasih
kejahatannya, jahat
kemerdekaan, merdeka
ketekunannya, tekun
kemukjizatan, mukjizat
ketertindasan, tindas
kelangkahan, langkah
kupasan, kupas
kefasikan, fasik
keberahian, berahi
keharusan, harus
keretakan, kereta
kepromotoran, promotor
kekosongan, kosong
keterpampatan, pampat
kebugaran, bugar
kehomoseksualan, homoseksual
kelurahan, lurah
kedaerahan, daerah
keseragaman, seragam
kalungnya, kalung
keria, ria
keorganisasian, organisasi
kesentosaan, sentosa
keharusannya, harus
kerahasiaan, rahasia
kentung-kentung, kentung
kulang, lang
kecil-mengecil, kecil
kebit, bit
keempat, empat
kepongahan, pongah
kantornya, kantor
kesetanan, setan
kegelian, geli
kangen-kangenan, kangen
kebijaksanaan, bijaksana
kesamaptaan, samapta
kesaptamargaan, saptamarga
kebebasan, bebas
kebobolan, bobol
keuletannya, ulet
kesuburannya, subur
kepentinganmu, penting
kelaluan, lalu
kadang-kadang, kadang
kewarisan, waris
kepesatan, pesat
kemahiran, mahir
kemasam-masaman, masam
kemaluan, malu
kenormalan, normal
kecakapan, cakap
kenangan, kenang
kulturalis, kultural
keluwesan, luwes
kekelaman, kelam
keterhubungan, hubung
kerjakanlah, kerja
ketawaran, tawar
kakaknya, kakak
keindukan, indu
kurainya, kurai
kepejuangan, juang
kejahatan, jahat
kesejahteraan, sejahtera
kepemilikan, milik
kedoknya, kedok
kacang-kacangan, kacang
keterbatasan, batas
kebebangan, bebang
keraguan, ragu
kemudaan, muda
kemuraman, muram
keklorinan, klorin
kesukaannya, suka
kubawa, bawa
keterpengaruhan, pengaruh
kefakiran, fakir
kemalu-maluan, malu
kemurahan, murah
kemurnian, murni
kepopuleran, populer
kejenuhan, jenuh
kelalimannya, lalim
kekahatan, kahat
kemudaratan, mudarat
kejailan, jail
kedalaman, dalam
kekeliruan, keliru
karatnya, karat
ketipisan, tipis
kereaktifan, reaktif
ketokan, tok
kegramatikalan, gramatikal
kekerasan, keras
kedesa-desaan, desa
ketumpahan, tumpah
kabulkanlah, kabul
keseakanan, akan
kekunoan, kuno
kesudahannya, sudah
kaualami, alam
kepastian, pasti
kemaslahatan, maslahat
kampungan, kampung
kelebihannya, lebih
kombinasinya, kombinasi
kesemarakan, semara
kelenyapan, lenyap
kelerengnya, kelereng
kayu-kayuan, kayu
kirkan, kir
kesyahduan, syahdu
keren-kerenan, keren
kesejarahan, sejarah
kesembronoan, sembrono
kerah-kerahan, kerah
kepadaman, padam
ketiadaan, tiada
keleburan, lebur
kewajiban, wajib
kepurbaan, purba
kakek-kakek, kakek
ketukan, ketu
kejelasan, jelas
kepujanggaan, pujangga
kecentilan, centil
kearsipan, arsip
kenyinyiran, nyinyir
kesiangan, siang
kemengkelan, mengkelan
kunjungan, kunjung
kelambanan, lamban
kemalingan, maling
kesalehan, saleh
kedesaan, desa
ketundukan, tunduk
kamarnya, kamar
kaubicarakan, bicara
keurus, urus
ketempatan, tempat
kelimis, kelim
kebarat-baratan, barat
kekukuhan, kukuh
ketergantungan, gantung
kelintaran, kelintar
kuat-kuat, kuat
ketumpulan, tumpul
kuajukan, aju
kelik-kelik, kelik
keboyakan, boya
keterepasan, repas
kebengkelan, bengkel
kebekuan, beku
kepramugarian, pramugari
kesudahan, sudah
keberaksaraan, aksara
keuangannya, uang
kehendak, hendak
kejiwaan, jiwa
ketenagaan, tenaga
kisatan, kisat
keuskupan, uskup
keuletan, ulet
kekoboi-koboian, koboi
keluguan, lugu
kobokan, kobok
ketajaman, tajam
kehidupan, hidup
keselipan, selip
ketersedotan, sedot
kebulatan, bulat
kedurjanaan, durjana
kehematan, hemat
kerumitan, kerumit
kelambatan, lambat
kekhasan, khas
keterharuan, haru
kewaspadaan, waspada
kepaniteraan, panitera
kudisnya, kudis
kritikan, kritik
keceplosan, ceplos
koyak-koyak, koyak
kesarjanaan, sarjana
keperhelatan, helat
kongko-kongko, kongko
kebegawanan, begawan
kijang-kijang, kijang
keterkutuban, kutub
kusu-kusu, kusu
kapilah, kapi
kekentalan, kental
kesehatian, hati
kebocoran, bocor
kepeloporan, pelopor
kehibukan, hibuk
keterdapatannya, dapat
kapan-kapan, kapan
keterusan, terus
keagamaan, agama
keguruan, guru
kerjanya, kerja
keterkenalan, kenal
kemesuman, mesum
kondisinya, kondisi
kandutan, kandut
keekonomian, ekonomi
keterserapan, serap
kecapaian, capai
kenyataan, nyata
kepelitan, pelit
kesenimanan, seniman
kebonafidean, bonafide
kenanglah, kenang
keagaan, aga
keunsuran, unsur
kerasionalan, rasional
keterandalan, andal
kebocahan, bocah
kejumudan, jumud
kelaminnya, kelamin
kumala, mala
keonaran, onar
kesumpekan, sumpek
kelapangan, lapang
kerohanian, rohani
keteguhan, teguh
kecebolan, cebol
keseluruhannya, seluruh
kemajuannya, maju
kekejian, keji
kubunuh, bunuh
keenakan, enak
kumel, mel
kesinambungan, sinambung
keekonomisan, ekonomis
kenestapaan, nestapa
kespontanan, spontan
ketertiban, tertib
kebanditan, bandit
kunang-kunang, nang
kelabilan, labil
kepicikan, picik
ketulusannya, tulus
kekekalan, kekal
kepengapan, pengap
keotoriteran, otoriter
keterimpitan, impit
kebiru, biru
keinginannya, ingin
kegetiran, getir
kemelikan, melik
kilauan, kilau
keheningan, hening
kucut, cut
kesedakan, sedak
keikhlasan, ikhlas
ketulangan, tulang
kesertaan, serta
kelembanan, kelemban
kebut-kebutan, kebut
kejangkitan, jangkit
kejelekan, jelek
kekuningan, kuning
kepincangan, pincang
keelokan, elo
kesigapan, sigap
kumisnya, kumis
kenudisan, nudis
keseribu, ribu
kerjakan, kerja
kecintaan, cinta
kebersihan, bersih
kedutan, kedut
kebekenan, beken
kepapaan, papa
ketujuh, tujuh
kemelesetan, meleset
ketegangan, tegang
kecerahan, cerah
ketahanan, tahan
kebutuhannya, butuh
kertap-kertap, kertap
korengan, koreng
kegapahan, gapah
kewedanaan, wedana
kemusnahan, musnah
kautanam, tanam
kebiru-biruan, biru
kelabangan, kelabang
khatan, khat
kekhawatiranku, khawatir
ketohoran, tohor
kumparannya, kumpar
kebasah-basahan, basah
kerakyatan, rakyat
kecapan, kecap
kedongkolan, dongkol
ketir-ketir, tir
keluyuran, keluyur
keringsing, ringsing
kesintasan, sintas
kampungnya, kampung
kitalah, kita
karangkan, karang
kial-kial, kial
kekuatannya, kuat
ketulahan, tulah
kue-kue, kue
kedangkalan, dangkal
kebasian, basi
kepemimpinan, pimpin
keponakanku, keponakan
kekota-kotaan, kota
kambuhan, kambuh
kecerdasannya, cerdas
kebusukan, busuk
keberbagaian, bagai
kawanan, kawan
kebangkrutan, bangkrut
kegerejaan, gereja
keteduhan, teduh
kuti-kuti, kuti
kemunduran, mundur
keusrekan, usrek
kakiku, kaki
komposisinya, komposisi
keadaanmu, ada
kegusaran, gusar
kukuran, kukur
kelegaan, lega
kilasan, kilas
kesediaannya, sedia
kebutuhan, butuh
kilikan, kili
karahnya, karah
kayanya, kaya
keberlangsungan, langsung
kekotoran, kotor
keberangkatannya, berangkat
keterjunan, terjun
keterpanaan, terpana
konstituennya, konstituen
ketuahan, tuah
kesportifan, sportif
kebohongan, bohong
kelengkapannya, lengkap
ketersiksaan, siksa
keangkeran, angker
kariernya, karier
ketergantunganmu, gantung
kepentingannya, penting
kehujanan, hujan
kepandaian, pandai
kebusukannya, busuk
kepangan, kepang
kemustajaban, mustajab
keemiratan, emirat
kepunyaanku, punya
kesengsaraan, sengsara
keakuan, aku
keningrat-ningratan, ningrat
kedogolan, dogol
kekhalifahan, khalifah
karangnya, karang
keporian, pori
kedemokratisan, demokratis
kegamangan, gamang
keimaman, imam
kekerapan, kerap
keserempet, serempet
kilik-kilik, kilik
kebaharian, bahari
katanya, kata
kegigihan, gigih
kelukut, lukut
kesufian, sufi
kepengurusan, urus
ketegapan, tegap
klubnya, klub
korekan, korek
kerenyahan, renyah
kemaraan, mara
kekuasaannya, kuasa
kelengking, lengking
kesempurnaan, sempurna
kebumikan, bumi
kejaran, kejar
kegeniusan, genius
keakuratan, akurat
ketaatan, taat
kempungan, kempung
keampunan, ampun
kedampingan, damping
kerokan, kero
ketercampuran, campur
kepedihan, pedih
keremajaan, remaja
kegigihannya, gigih
kelengasan, lengas
kesunyian, sunyi
kehomoniman, homonim
ketersediaan, sedia
kekaburan, kabur
kepadatan, padat
kepepet, pepet
kekedotan, kedot
kelengkungan, lengkung
kesulitannya, sulit
kadarnya, kadar
ketulenan, tulen
ketuangan, tuang
kebauan, bau
ketidak, tidak
ketolongan, tolong
kekacakan, kaca
kejelian, jeli
kedaulatan, daulat
kegendutan, gendut
keteledoran, teledor
kewanitaan, wanita
ketampanan, tampan
keleningan, kelening
kecupetan, cupet
ketelapan, telap
kebisaan, bisa
keseratus, ratus
kegesitan, gesit
kebudak-budakan, budak
kepengacaraan, acara
kesemrawutan, semrawut
keakhiratan, akhirat
kediktatoran, diktator
kerapatan, rapat
kekejamannya, kejam
kalau-kalau, kalau
kedil, dil
kia-kia, kia
ketekunan, tekun
kelengkapan, lengkap
kecohan, kecoh
kopian, kopi
kesentuhan, sentuh
keterasingan, asing
kelindungan, lindung
kelalah, lalah
kesederhanaan, sederhana
kesenjataan, senjata
kemayaan, maya
kebaruan, baru
kehilangannya, hilang
kefemininan, feminin
keriaan, ria
kesetrum, setrum
kesungguhan, sungguh
ketelanjuran, telanjur
kobakan, kobak
ketersisihan, sisih
kehangatan, hangat
kelenturan, lentur
keputusan, putus
kikiran, kikir
kepetangan, kepetang
kawalan, kawal
keantikan, anti
kemamah, mamah
keringanan, ringan
keterangannya, terang
kecemburuan, cemburu
kakakmu, kakak
kesap, sap
kepresidenan, presiden
kikisan, kikis
kepagian, pagi
kalangan, kalang
keastronomian, astronomi
kerajinan, rajin
kompenian, kompeni
kemusyrikan, musyrik
kemapanan, mapan
kepilu-piluan, pilu
kekudung, kudung
kesebandingan, banding
kemunafikan, munafik
kelihatan, lihat
keremahan, remah
kedamaian, damai
kemercusuaran, mercusuar
kubangan, kubang
kejatmikaan, jatmika
kesempatan, sempat
kucit, cit
kekentalannya, kental
kejaksaan, jaksa
kecanduan, candu
kebuasan, buas
kerasulannya, rasul
kesenjangan, senjang
kepakaran, pakar
kepailitan, pailit
kematraan, matra
kepandiran, pandir
kemulia, mulia
kemufakatan, mufakat
kelengahan, lengah
kepenajaan, taja
kesepuluh, puluh
kecamatan, camat
keselarasan, selaras
ketenteraman, tenteram
kinangan, kinang
kepatuhan, patuh
kimianya, kimia
kepanasan, panas
kulum-kulum, kulum
kekecewaan, kecewa
kukumbangan, kumbang
kebengkalan, bengkal
kegagahan, gagah
kehamilan, hamil
keayapan, ayap
keenergian, energi
kira-kiraan, kira
kebodohannya, bodoh
kesungkanan, sungkan
ketikan, keti
koboi-koboian, koboi
keingkaran, ingkar
kuduknya, kuduk
kecipratan, ciprat
kengerian, ngeri
kepekatan, pekat
keserbagunaan, serbaguna
kerong-kerong, kerong
kipasnya, kipas
keunggulan, unggul
kedengkian, dengki
kedipan, kedip
kepandaiannya, pandai
kemasannya, kemas
kejijikan, jijik
kodratnya, kodrat
kementerengan, mentereng
keringatnya, keringat
kekuatan, kuat
kiraan, kira
karyanya, karya
kitingan, kiting
kacangan, kacang
kelangsungan, langsung
keajaiban, ajaib
kebanyakan, banyak
kerumunan, kerumun
kegilaan, gila
kesalahan, salah
kegeruhan, geruh
kebakaan, baka
kepartikelan, partikel
kekasihan, kasih
ketakut, takut
kabarnya, kabar
kuantitatifnya, kuantitatif
koretan, koret
kutangkap, tangkap
ketuhanan, tuhan
kesemestaan, semesta
keanekaan, aneka
ketetapan, tetap
kelucahan, lucah
kinerjanya, kerja
kejuaraan, juara
kekuratoran, kurator
kebosanan, bosan
kemubaziran, mubazir
kehadiranku, hadir
ketap-ketap, ketap
kepindahan, pindah
keterbalikan, balik
kuanta, anta
kepegawaian, pegawai
ketinggian, tinggi
kemisteriusan, misterius
keberlakuan, laku
keaiban, aib
keterlibatannya, libat
keangkaraan, angkara
kejelusan, jelus
kinciran, kincir
kira-kira, kira
kefanaan, fana
kesantaian, santai
keloknya, kelok
keperintisan, rintis
kebenarannya, benar
keunguan, ungu
kesejatian, sejati
kesalahannya, salah
kincai, kinca
kulah-kulah, kulah
kilau-mengilau, kilau
kristalisasinya, kristalisasi
kepaduan, padu
kepenulisan, tulis
kekumuhan, kumuh
kepucat-pucatan, pucat
keracunan, racun
kecantikannya, cantik
keimanan, iman
kekhususan, khusus
kesemanan, seman
kepiawaian, piawai
keniraksaraan, niraksara
kepelabuhan, labuh
keletihan, letih
kemustahilan, mustahil
kesadarannya, sadar
kelobaan, loba
kebegaran, begar
kebudayaan, budaya
kenaikannya, naik
kegunaannya, guna
kimiawinya, kimiawi
kemanusiaan, manusia
kekeramatan, keramat
ketakutan, takut
kepangsek, pangsek
kerasnya, keras
kewujudan, wujud
kehormatannya, hormat
keponakannya, keponakan
kerekah, kere
koplokan, koplo
keuangan, uang
kambingnya, kambing
kewibawaan, wibawa
kerabatnya, kerabat
kehebohan, heboh
kekalahan, kalah
kerangkang, rangkang
kuricakan, rica
kebingungan, bingung
katirnya, katir
kepalanya, kepala
kecabaian, cabai
kekhawatiran, khawatir
kesia-siaan, sia
keresikan, resi
kelezatan, lezat
kesastraan, sastra
kepengarangan, arang
keterhantaran, hantar
kesangaran, sangar
kesik-kesik, kesik
kecondongan, condong
kemplangan, kemplang
kebudayaannya, budaya
kulian, kuli
klikan, klik
kekayaan, kaya
kencrengan, kencreng
keteraturan, atur
kencing-mengencingi, kencing
keret, ret
ketakaburan, takabur
kelantan, lantan
kemeriahan, riah
kumatan, kumat
kebakuan, baku
kestabilan, stabil
kuvet, vet
kerentanan, rentan
kodian, kodi
kesetimbangan, timbang
keridaan, rida
keperluan, perlu
kebinasaan, binasa
kekencangan, kencang
keningnya, kening
kemaksimalan, maksimal
kudap-kudap, kudap
kedatanganku, datang
kambingku, kambing
kemerah-merahan, merah
kecerobohan, ceroboh
kelemahan, lemah
kenikmatan, nikmat
kegadisan, gadis
kecembungannya, cembung
kesebelasan, sebelas
kaitannya, kait
kedar, dar
kelancaran, lancar
kebebasannya, bebas
kecokelat-cokelatan, cokelat
kesombongannya, sombong
ketiga, tiga
ketuanya, ketua
kekontrasan, kontras
keributan, ribut
ketahiran, tahir
kelotak, lotak
korengnya, koreng
keutamaan, utama
kekesalannya, kesal
kehijau-hijauan, hijau
komplotan, komplot
kesahajaan, sahaja
kenapa-kenapa, kenapa
kepanjangan, panjang
kepasrahan, pasrah
kebersihannya, bersih
kembalinya, kembali
kemestian, mesti
ketulian, tuli
keterarahan, arah
keberatan, berat
kekurusan, kurus
kearifan, arif
keresmian, resmi
keayuan, ayu
kalengan, kaleng
kesusahan, susah
keterpakuan, paku
kesuraman, suram
keteloran, telor
kirinya, kiri
kiranya, kira
keeksotisan, eksotis
kebaikan, baik
kefrustrasian, frustrasi
kesehatannya, sehat
keilhaman, ilham
keallahan, allah
kegenapan, genap
keekstreman, ekstrem
kemampuanku, mampu
kinerja, kerja
kesterilan, steril
kandaran, kandar
keselamatannya, selamat
kebambam, bambam
kecewek-cewekan, cewek
ketutuk, tutuk
kemontokan, montok
keindonesiaan, indonesia
kekasihnya, kasih
kecanggihan, canggih
keevolusian, evolusi
kedendaman, dendam
kehausan, haus
kerupuknya, kerupuk
kemagnetan, magnet
kesehatan, sehat
kerang-kerangan, kerang
kemakmuran, makmur
keungu-unguan, ungu
kesewenang-wenangan, wenang
kelantangan, kelantang
kemelekan, melek
kelembutan, lembut
kedutaan, duta
kerasulan, rasul
kekinian, kini
kecilan, kecil
kelanggengan, langgeng
keedanan, edan
keperihan, perih
keruangan, ruang
kehalusannya, halus
kejemawaan, jemawa
kendatipun, kendati
kebutaan, buta
kedokteran, dokter
kiu-kiu, kiu
kejorokan, jorok
kekesatan, kesat
kefamilian, famili
kelautan, laut
kesisipan, sisip
kegelap-gelapan, gelap
ketepatan, tepat
kepuh-kepuh, kepuh
kekaguman, kagum
kegemukan, gemuk
kekeruhan, keruh
kedurhakaan, durhaka
kesenyapan, senyap
keeksentrikan, eksentrik
kesangatan, sangat
kesialan, sial
kekesalanmu, kesal
keahliannya, ahli
kepausan, paus
ketinggiannya, tinggi
kenistaan, nista
keceriaan, ceria
komponennya, komponen
kumparan, kumpar
keputrian, putri
keberanian, berani
kapangan, kapang
kelaliman, lalim
kepercayaannya, percaya
keserakahan, serakah
keamanahan, amanah
keseharian, hari
kesenian, seni
kutukan, kutu
ketiadaannya, tiada
kitiran, kitir
keharmonisan, harmonis
kulik-kulik, lik
kesesakan, sesak
ketengan, keteng
kemauan, mau
kesejalanan, jalan
kecendekiaan, cendekia
kelebihan, lebih
ketenangan, tenang
kesulitan, sulit
kebanggaan, bangga
kacang-kacang, kacang
kajian, kaji
khususnya, khusus
kekacaan, kaca
kepositifan, positif
kabaran, kabar
kerungkuhan, rungkuh
kecerewetan, cerewet
keseutuhan, utuh
kealotan, alot
kebetulan, betul
kefarmasian, farmasi
kenajisan, najis
kelelahan, lelah
keproduktifan, produktif
kemuliaannya, mulia
kegandrungan, gandrung
keleting, leting
kekayuan, kayu
kepramukaan, pramuka
kepramugaraan, pramugara
kelemasan, lemas
kefanatikan, fanatik
kezaliran, zalir
kemitraan, mitra
kenotarisan, notaris
kemudahannya, mudah
ketegasan, tegas
kesembilan, sembilan
kanannya, kanan
kameramu, kamera
kesengajaan, sengaja
kebagian, bagi
kegiatannya, giat
kesayuan, sayu
kegirangan, girang
kelengkungannya, lengkung
kemuskilan, muskil
keputusannya, putus
kelicinan, licin
kesedihan, sedih
ketercerabutan, cerabut
keberterimaan, terima
kerekatan, rekat
kenyitan, kenyit
kerugiannya, rugi
kecergasan, cergas
kecurangan, curang
kemasakan, masa
kemerduan, merdu
koreksian, koreksi
kaulan, kaul
kejadiannya, jadi
keculasan, culas
kekeliruannya, keliru
kacanya, kaca
keterwakilan, wakil
keayahan, ayah
kecantikan, cantik
kendaraannya, kendara
keleluasaan, leluasa
kesehatanmu, sehat
kekamian, kami
kegadis-gadisan, gadis
kerakusan, rakus
kepakan, pakan
kelapukan, lapuk
kebersemangatan, semangat
keajukan, aju
keti-keti, keti
kehabisan, habis
kekecilan, kecil
kerisikan, kerisi
kentalnya, kental
kekerenan, keren
kehakiman, hakim
keberhasilannya, hasil
khasiatnya, khasiat
kerunyutan, kerunyut
kesamunan, samun
ketenarannya, tenar
kabruk-kabrukan, kabruk
kawannya, kawan
kebayi-bayian, bayi
keteladanan, teladan
kebintangan, bintang
kewaskitaan, waskita
kukusan, kukus
kenegaraan, negara
kebatinan, batin
kediaman, diam
kesirep, sirep
keekabahasaan, ekabahasa
kenakan, kena
keabstainan, abstain
kertasnya, kertas
keluarnya, keluar
kedwimukaan, dwimuka
kegelisahan, gelisah
kualitasnya, kualitas
kepitan, kepit
kepulan, kepul
kegetolan, getol
kelampauan, lampau
keringatan, keringat
kerlingan, kerling
kuhadapi, hadap
ketukangan, tukang
keterhambatan, hambat
keinsafan, insaf
ketimus, timus
keeksklusifan, eksklusif
ketertarikan, tari
keputih, putih
keberangan, berang
kebengisan, bengis
keharmonian, harmoni
kerengsaan, rengsa
kebangsaan, bangsa
kauambil, ambil
keimbangan, imbang
keabuan, abu
kujual, jual
kuanter, anter
kirim-berkirim, kirim
keadikuasaan, adikuasa
kulambai, lambai
keramaian, ramai
keartisan, artis
kepucatan, pucat
keberagaman, agam
kelewat, lewat
kepadamu, kepada
kesahihan, sahih
kurusan, kurus
kemurkaan, murka
kelestarian, lestari
keruncingan, runcing
keringnya, kering
ketimun, timun
kecanggungan, canggung
kesisiran, sisir
kejenakaan, jenaka
kepentinganku, penting
kepahitan, pahit
kepecahan, pecah
kerawitan, kerawit
kepuyuh, puyuh
kebobrokan, bobrok
keyakinannya, yakin
keasingan, asing
keprihatinan, prihatin
kendalian, kendali
kebatan, kebat
kukunya, kuku
kaili, kail
kelihaian, lihai
kisaian, kisai
kedaifan, daif
kecualinya, kecuali
kebujanggaan, bujangga
keradioaktifan, radioaktif
kebotakan, bota
kelompokan, lompok
kemenarikan, tari
kemong, mong
kemarahan, marah
kocoran, kocor
kesipuan, sipu
kepirangan, pirang
keputraan, putra
keseganan, segan
kepunyaannya, punya
kudil, dil
kolomnya, kolom
ketegukan, teguk
ketakwaan, takwa
kemungkinan, mungkin
keringkasan, ringkas
keberesan, beres
keresahan, resah
ketewasan, tewas
kuasanya, kuasa
kedaian, kedai
kepergian, pergi
kesepahaman, paham
kesangsian, sangsi
kebalikan, balik
ketampakan, tampak
keduniawian, duniawi
kelincahan, lincah
kepengusahaan, usaha
kesayangan, sayang
kenaifan, naif
kejengkolan, jengkol
kecelakaan, celaka
kesukarannya, sukar
kepatutan, patut
kemahalan, mahal
ketahui, tahu
kononkan, konon
kerumpilan, rumpil
keniscayaan, niscaya
kelesuan, lesu
kisahan, kisah
keeratan, erat
kendangan, kendang
keberaniannya, berani
kepencut, pencut
keguraman, guram
kedengaranlah, dengar
keluangan, keluang
keberhati-hatian, hati
kematangan, matang
keserangan, serang
kesinian, kesini
ketahuan, tahu
kesimpatan, simpat
kecepatan, cepat
kebencian, benci
kepetahan, petah
keikliman, iklim
kecekungan, cekung
kewalat, walat
katamu, kata
kemokalan, mokal
keselaran, selar
kerubungan, kerubung
keindahannya, indah
keefektifan, efektif
kesayangannya, sayang
ketebalan, tebal
kisikan, kisi
kekhilafan, khilaf
keserongan, serong
keganjilan, ganjil
kesepakatan, sepakat
keberhatian, hati
kemujuran, mujur
kudanya, kuda
keberagamaan, agama
kejituan, jitu
kemungkaran, mungkar
kelembekan, lembek
kayu-kayu, kayu
kebimbangan, bimbang
kenyataannya, nyata
kemanja-manjaan, manja
keindustrian, industri
ketulusan, tulus
kebancian, banci
kepalan, kepal
kepurbakalaan, purbakala
kopokan, kopok
kesabaran, sabar
kehumasan, humas
kependekaran, pendekar
keseberangan, seberang
kelalaian, lalai
kegaduhan, gaduh
keterdedahan, dedah
kesosialan, sosial
kucing-kucing, kucing
keawaman, awam
keairan, air
kurungan, kurung
keterkutukan, kutu
kemutakhiran, mutakhir
kekasihku, kasih
kulio, lio
kedudukannya, duduk
kecaman, kecam
keatletan, atlet
kamarku, kamar
kemenangan, menang
kerodong, rodong
kerepotan, kerepot
kesimpulan, simpul
kelipatan, kelipat
kegaliban, galib
keterpaduan, padu
kalo-kalo, kalo
kegoblokan, goblok
kegenitan, genit
keseimbangan, imbang
kelisanan, lisan
karakteristiknya, karakteristik
kekotaan, kota
kelanjutan, lanjut
kemiskinan, miskin
ketrengginasan, trengginas
keserasian, serasi
kerincingan, kerincing
kerendahan, rendah
kependudukan, duduk
kesorean, sore
kelabakan, laba
kerahiman, rahim
kemagnetannya, magnet
kekejaman, kejam
kelilipan, kelilip
kesaksamaan, saksama
kulin, lin
kelarutan, larut
kolongan, kolong
karungnya, karung
kemewahan, mewah
keampuhan, ampuh
kuaran, kuar
kehajian, haji
keelokannya, elo
kilangan, kilang
kerelaan, rela
kebolehannya, boleh
kitaran, kitar
kerikan, keri
khataman, khatam
keteguran, tegur
ketangguhan, tangguh
kenal-mengenal, kenal
keterkejutan, kejut
kebinekaan, bineka
kuran, kur
keroyalan, royal
kepelikan, pelik
kerontokan, rontok
kirim-kirim, kirim
ketitiran, ketitir
keteteran, keteter
keterbacaan, baca
kekangan, kekang
keajekan, ajek
ketakzim-takziman, takzim
kementahan, mentah
kasihi, kasih
kehebatan, hebat
kemenduaan, dua
kemungkinannya, mungkin
kemurungan, murung
keseraman, seram
kevokalan, vokal
kerasukan, rasuk
ketertundukan, tunduk
kubeli, bel
kecuraman, curam
kinarya, karya
kelompoknya, kelompok
kesultanan, sultan
kesedapan, sedap
kepalakan, kepala
kesiswaan, siswa
kekonyolan, konyol
kedinasan, dinas
kebuluran, bulur
keteruapan, uap
kekufuran, kufur
keterpurukan, puruk
kementakan, mentak
kretinisme, kretin
kesenggangan, senggang
kehadiran, hadir
kefasihannya, fasih
kelinieran, linier
kecekatan, cekat
ketunaan, tuna
keterlibatan, libat
kesukuan, suku
kehutanan, hutan
kehukuman, hukum
kelaki, kelak
kungkungan, kungkung
kepabeanan, pabean
kelugasan, lugas
kateterisasi, kateter
keperwiraan, perwira
kedirian, diri
kedalam, dalam
kecemasan, cemas
kilapan, kilap
kegenialan, genial
kebacut, bacut
keemasan, emas
kesamper, samper
kongsian, kongsi
kependiaman, diam
keutuhan, utuh
kegundahan, gundah
keganasan, ganas
kerembatan, rembat
kehomogenan, homogen
kacokan, kaco
ketegaran, ketegar
kesetujuan, tuju
kicauannya, kicau
kekayaannya, kaya
kerusakan, rusa
kuluban, kulub
keterpaksaan, paksa
kealiman, alim
karangan, karang
kupakan, kupa
kemodernan, modern
kejantanan, jantan
keumatan, umat
keengganan, enggan
kemunculan, muncul
kekeluargaannya, keluarga
kuncupnya, kuncup
kelenengan, keleneng
kekudusan, kudus
keibaan, iba
kailan, kail
keberartian, arti
kesejukan, sejuk
kehendakmu, hendak
kaitnya, kait
kebenaran, benar
keenam, enam
ketenaran, tenar
kekolektifan, kolektif
kesampukan, sampu
ketapakan, tapa
kecocokan, cocok
kehitam-hitaman, hitam
kehalusan, halus
kesenjaan, senja
kenakalannya, nakal
ketinggalan, tinggal
kepartaian, partai
kutipan, kutip
keunikan, uni
keterpikatan, pikat
kirimkan, kirim
kecakapannya, cakap
kuliahnya, kuliah
kemutlakan, mutlak
kepermaian, permai
kegirang-girangan, girang
kebertentangannya, tentang
kutika, tika
kemalaman, malam
kemalangannya, malang
kepusingan, pusing
korbannya, korban
kesekretariatan, sekretariat
kemiringan, miring
kegulanaan, gulana
keolahragaan, olahraga
kiliran, kilir
kecacatan, cacat
kejatuhan, jatuh
kipasan, kipas
keperkasaan, perkasa
kepulasan, pulas
kontraknya, kontrak
kebilangan, bilang
kecolongan, colong
kecokelatan, cokelat
kehancuran, hancur
keartistikan, artistik
kelebatan, kelebat
kejanggalan, janggal
keberbakatan, bakat
kejuruan, juru
ketabiban, tabib
keesokan, esok
kemajiran, majir
keterubahan, ubah
keuniversalan, universal
kaulnya, kaul
kambangan, kambang
kecenaan, cena
kepintasan, pintas
keindraan, indra
kampungku, kampung
kepangkatan, pangkat
kemujaraban, mujarab
kecederaan, cedera
kelilingnya, keliling
kemanunggalan, manunggal
kemajuan, maju
kemasyhuran, masyhur
kemalai, kemala
kesenggol, senggol
kesakitan, sakit
kulik, lik
keasyikan, asyik
ketunggalan, tunggal
kekaras, karas
kesannya, kesan
kekritisan, kritis
kemiliteran, militer
keakasan, akas
keazaman, azam
kebinatangan, binatang
kuderita, derita
keleleran, leler
kepemelukan, peluk
kebujangan, bujang
keaslian, asli
kesenakan, sena
keinggris-inggrisan, inggris
kekancingan, kancing
ketumbuhan, tumbuh
kesendalan, sendal
keadaan, ada
kedewasaan, dewasa
